Hybrid,Location,PlantHeight
G16,INH1,165.76952462723
G16,MIH1,226.75845363469043
G16,MOH2,100.36680216853196
G16,NCH1,169.6131781678074
G16,NEH1,175.42825711836673
G16,NEH2,163.21608771274626
G16,NEH3,163.20333766621883
G16,NYH2,191.27605891181736
G16,NYH3,114.25490586235375
G16,SCH1,157.69981916910842
G16,TXH1,154.21521103318383
G16,TXH2,142.0849501080341
G16,TXH3,173.93783758954748
G16,WIH2,178.60682798954065
G16,WIH3,172.53039253334634
G17,DEH1,192.9333814148203
G17,GAH1,192.96753981381949
G17,GAH2,179.83518795782206
G17,GEH1,194.28374366054018
G17,IAH1,210.48279113433625
G17,IAH3,190.3556461373276
G17,IAH4,195.2264477164452
G17,ILH1,160.56812019520146
G17,INH1,198.9357996338454
G17,MIH1,202.6720331261276
G17,NCH1,144.74733362913415
G17,NEH2,187.62647988993749
G17,NEH3,187.27174738812232
G17,NYH2,166.81344237395828
G17,NYH3,185.53318572820524
G17,SCH1,185.71028993950034
G17,TXH1,191.2290292401514
G17,TXH3,199.2538004051321
G17,WIH1,177.89006845249688
G17,WIH2,203.92279080512526
G17,WIH3,197.84635534893098
G18,DEH1,169.7276447431213
G18,GAH1,151.94539747826883
G18,GAH2,129.27307430254334
G18,GEH1,106.30950541380105
G18,IAH1,186.15432039439239
G18,IAH3,150.08696987890116
G18,IAH4,147.02071104474595
G18,ILH1,141.61238352350264
G18,INH1,195.68365434313847
G18,MIH1,197.58794120459208
G18,MOH2,173.28262966677238
G18,NCH1,215.0415969574329
G18,NEH1,183.00526631468298
G18,NEH2,117.00926092475697
G18,NEH3,168.773563810102
G18,NYH2,179.0925617584614
G18,SCH1,170.77038414361266
G18,TXH1,138.9256411835829
G18,TXH2,144.1951762519197
G18,TXH3,176.04806373343308
G18,WIH1,154.68433178079783
G18,WIH2,180.71705413342625
G18,WIH3,174.64061867723194
G19,DEH1,208.88969580988493
G19,GAH1,189.36396859903888
G19,GAH2,183.31197079673075
G19,GEH1,190.17754501425367
G19,IAH1,264.6509602101827
G19,IAH3,217.28558960668943
G19,IAH4,207.3659178656353
G19,INH1,164.6029399231501
G19,MOH2,169.6640554148329
G19,NCH1,208.53778527214317
G19,NEH1,226.560075425966
G19,NEH2,196.7448649129159
G19,NEH3,187.66067768608173
G19,NYH2,230.5849250162558
G19,NYH3,221.01468183869383
G19,SCH1,204.78921448714723
G19,TXH1,194.8335963545487
G19,TXH3,215.21011480019672
G19,WIH1,193.8463828475615
G19,WIH2,219.87910520018988
G19,WIH3,213.8026697439956
G20,GAH1,176.9015414672327
G20,GAH2,127.46066529537646
G20,GEH1,182.15632654596178
G20,IAH1,215.54440530166445
G20,IAH3,199.32982057638367
G20,IAH4,165.1898562096834
G20,ILH1,181.55356765089462
G20,INH1,189.94845928347328
G20,MIH1,166.78260377616675
G20,MOH2,91.93621212998926
G20,NCH1,154.09825114260724
G20,NEH1,178.99793895157188
G20,NEH2,179.66001917129148
G20,NEH3,194.7596701908986
G20,NYH2,211.9294811799298
G20,NYH3,188.38191347466977
G20,SCH1,156.4456071238219
G20,TXH1,130.77312639334662
G20,TXH2,155.12919375761126
G20,TXH3,186.98208123912462
G20,WIH1,165.6183492864894
G20,WIH2,191.6510716391178
G20,WIH3,185.5746361829235
G21,DEH1,180.78301750622364
G21,GAH1,108.4515539498206
G21,GAH2,139.20880080651867
G21,GEH1,184.93955377690074
G21,IAH1,169.76337723492776
G21,IAH3,196.1423426420028
G21,IAH4,191.08795582371243
G21,ILH1,203.15536534133753
G21,INH1,186.71300236033176
G21,MIH1,215.53661124489264
G21,MOH2,96.21155150313552
G21,NCH1,179.1808291600651
G21,NEH1,226.4467408034737
G21,NEH3,226.79066670548002
G21,NYH2,151.62219543696563
G21,NYH3,120.5215660261234
